FitMethod,CNR,TemporalRes,TrueRelKt,TrueRelVe,TrueKep,errKt,errVe,errKep,stdErrKt,stdErrVe,stdErrKep, meanResid, stdResid
LRRM,5.000000,1.000000,2.500000,4.000000,0.625000,0.795686,0.327044,-2.570879,6.312023,1.636078,17.432407,2.528121,0.073381
CLRRM,5.000000,1.000000,2.500000,4.000000,0.625000,1.093712,0.186856,-3.227507,3.447594,1.306618,3.608647,2.531229,0.073357
CHRRM,5.000000,1.000000,2.500000,4.000000,0.625000,-0.022551,0.033640,0.268774,3.488129,1.297591,3.805818,2.531460,0.073363
CLRRMm,5.000000,1.000000,2.500000,4.000000,0.625000,0.575870,0.114247,-1.603510,3.466586,1.302312,3.699433,2.531302,0.073358
CLRRMt,5.000000,1.000000,2.500000,4.000000,0.625000,0.053928,0.043752,0.029755,3.485400,1.298180,3.792134,2.531436,0.073362
NRRM,5.000000,1.000000,2.500000,4.000000,0.625000,-0.286644,0.141473,1.149054,6.020668,1.591773,18.282645,0.001109,0.000063
CNRRM,5.000000,1.000000,2.500000,4.000000,0.625000,0.033376,0.008254,0.352310,3.092091,1.269960,3.512879,0.001109,0.000063
LRRM,5.000000,5.000000,2.500000,4.000000,0.625000,3.746686,2.009904,-14.019478,13.149615,15.395956,33.369039,1.128658,0.073467
CLRRM,5.000000,5.000000,2.500000,4.000000,0.625000,4.775893,0.984378,-15.180063,7.338707,3.015595,6.638919,1.134251,0.073292
CHRRM,5.000000,5.000000,2.500000,4.000000,0.625000,-0.341865,0.181915,0.865300,7.776336,2.903664,8.554149,1.136471,0.073526
CLRRMm,5.000000,5.000000,2.500000,4.000000,0.625000,2.970172,0.664389,-9.478927,7.500522,2.969490,7.284821,1.134699,0.073332
CLRRMt,5.000000,5.000000,2.500000,4.000000,0.625000,-0.016803,0.224242,-0.143578,7.750530,2.909255,8.424784,1.136244,0.073499
NRRM,5.000000,5.000000,2.500000,4.000000,0.625000,-1.923613,0.726080,6.698033,14.410182,14.989299,49.547036,0.002474,0.000314
CNRRM,5.000000,5.000000,2.500000,4.000000,0.625000,-0.035532,0.063906,1.306406,6.941514,2.847923,7.967522,0.002474,0.000312
LRRM,5.000000,10.000000,2.500000,4.000000,0.625000,6.862132,5.357943,-27.224221,17.637365,135.820643,41.029386,0.794735,0.074640
CLRRM,5.000000,10.000000,2.500000,4.000000,0.625000,8.465319,2.048372,-27.221248,9.840691,4.493189,7.624240,0.801467,0.074461
CHRRM,5.000000,10.000000,2.500000,4.000000,0.625000,-0.940324,0.344268,2.166879,11.007078,4.139047,12.337211,0.806853,0.075483
CLRRMm,5.000000,10.000000,2.500000,4.000000,0.625000,4.929020,1.248406,-16.035300,10.311329,4.317950,9.248974,0.802569,0.074698
CLRRMt,5.000000,10.000000,2.500000,4.000000,0.625000,-0.114943,0.448574,-0.366065,10.916420,4.158580,11.873929,0.806072,0.075337
NRRM,5.000000,10.000000,2.500000,4.000000,0.625000,-5.024176,1.685508,17.669839,22.890741,37.120154,92.634131,0.003487,0.000639
CNRRM,5.000000,10.000000,2.500000,4.000000,0.625000,-0.415326,0.093905,2.989710,9.900422,4.047956,11.584163,0.003490,0.000633
LRRM,5.000000,15.000000,2.500000,4.000000,0.625000,8.871716,2.714075,-37.464554,20.308863,892.527854,45.336398,0.646719,0.074824
CLRRM,5.000000,15.000000,2.500000,4.000000,0.625000,9.741395,2.550051,-32.652335,11.749453,5.565615,8.442181,0.654565,0.074785
CHRRM,5.000000,15.000000,2.500000,4.000000,0.625000,-3.212828,0.134609,7.713732,13.702812,4.943072,16.372386,0.664393,0.076545
CLRRMm,5.000000,15.000000,2.500000,4.000000,0.625000,5.397169,1.430665,-18.864952,12.473192,5.255835,10.777723,0.656343,0.075054
CLRRMt,5.000000,15.000000,2.500000,4.000000,0.625000,-0.470941,0.459596,-0.645302,13.345020,5.016525,14.454152,0.661208,0.075907
NRRM,5.000000,15.000000,2.500000,4.000000,0.625000,-7.627266,30.099747,27.783703,40.117391,2790.493512,125.450835,0.004265,0.000958
CNRRM,5.000000,15.000000,2.500000,4.000000,0.625000,-2.323186,-0.283915,9.214323,12.426779,4.834188,15.590310,0.004272,0.000945
LRRM,5.000000,30.000000,2.500000,4.000000,0.625000,16.587279,9.499528,-61.739608,25.528619,673.007782,55.773705,0.447906,0.074950
CLRRM,5.000000,30.000000,2.500000,4.000000,0.625000,16.422352,5.225864,-45.850097,15.737430,8.823439,9.202984,0.458587,0.075318
CHRRM,5.000000,30.000000,2.500000,4.000000,0.625000,-4.112002,0.759570,21.416862,20.653228,6.966879,27.832035,0.483423,0.083327
CLRRMm,5.000000,30.000000,2.500000,4.000000,0.625000,9.948628,2.798842,-23.950142,17.511913,7.719535,13.859027,0.463002,0.076605
CLRRMt,5.000000,30.000000,2.500000,4.000000,0.625000,2.216057,1.398666,1.383455,19.400928,7.184337,20.923661,0.472562,0.079511
NRRM,5.000000,30.000000,2.500000,4.000000,0.625000,-6.742417,-4.899613,47.553341,100.038178,641.968183,173.840770,0.006056,0.002057
CNRRM,5.000000,30.000000,2.500000,4.000000,0.625000,-2.386729,-0.340562,25.136573,19.506253,6.774524,27.759632,0.006054,0.001924
LRRM,5.000000,60.000000,2.500000,4.000000,0.625000,25.909514,10.991286,-88.514112,33.500972,1095.459622,72.356362,0.297135,0.073987
CLRRM,5.000000,60.000000,2.500000,4.000000,0.625000,23.544558,7.899328,-49.331908,22.817243,14.167077,12.010142,0.315212,0.075179
CHRRM,5.000000,60.000000,2.500000,4.000000,0.625000,-11.791922,2.072348,68.258495,32.765560,13.254452,64.262422,0.388878,0.116937
CLRRMm,5.000000,60.000000,2.500000,4.000000,0.625000,5.797615,2.852242,18.201443,30.620433,10.350946,36.216399,0.345818,0.090028
CLRRMt,5.000000,60.000000,2.500000,4.000000,0.625000,9.021772,3.182275,6.803854,29.626434,10.544120,31.121578,0.338620,0.085904
NRRM,5.000000,60.000000,2.500000,4.000000,0.625000,21.986840,10.782402,56.009888,273.415976,251.491948,179.575801,0.008828,0.005160
CNRRM,5.000000,60.000000,2.500000,4.000000,0.625000,3.184627,1.204075,88.409743,91.552511,22.602967,88.780066,0.008538,0.003929
LRRM,10.000000,1.000000,2.500000,4.000000,0.625000,0.231921,0.090695,-0.821748,3.204160,0.791758,8.894138,1.262910,0.036341
CLRRM,10.000000,1.000000,2.500000,4.000000,0.625000,0.316374,0.058714,-1.017186,1.744662,0.650986,1.875302,1.264536,0.036385
CHRRM,10.000000,1.000000,2.500000,4.000000,0.625000,0.027998,0.019963,-0.116218,1.749897,0.649854,1.901087,1.264566,0.036383
CLRRMm,10.000000,1.000000,2.500000,4.000000,0.625000,0.174317,0.039526,-0.573225,1.747247,0.650425,1.887981,1.264546,0.036383
CLRRMt,10.000000,1.000000,2.500000,4.000000,0.625000,-0.004382,0.015661,-0.015121,1.750481,0.649729,1.903994,1.264571,0.036383
NRRM,10.000000,1.000000,2.500000,4.000000,0.625000,-0.028351,0.045906,0.101963,2.977331,0.771488,8.905039,0.000284,0.000016
CNRRM,10.000000,1.000000,2.500000,4.000000,0.625000,0.049922,0.014512,-0.088313,1.544062,0.635772,1.752199,0.000284,0.000016
LRRM,10.000000,5.000000,2.500000,4.000000,0.625000,0.854377,0.392188,-3.133467,7.050315,1.846048,19.062571,0.564409,0.036795
CLRRM,10.000000,5.000000,2.500000,4.000000,0.625000,1.191469,0.213515,-3.802968,3.855867,1.465070,4.011370,0.567798,0.036957
CHRRM,10.000000,5.000000,2.500000,4.000000,0.625000,-0.220429,0.021101,0.599613,3.913221,1.452307,4.289947,0.568127,0.037007
CLRRMm,10.000000,5.000000,2.500000,4.000000,0.625000,0.591580,0.129373,-1.929200,3.880567,1.459440,4.128536,0.567889,0.036972
CLRRMt,10.000000,5.000000,2.500000,4.000000,0.625000,-0.015266,0.047871,-0.038507,3.905056,1.454059,4.248860,0.568055,0.036997
NRRM,10.000000,5.000000,2.500000,4.000000,0.625000,-0.491587,0.155735,1.499428,6.792021,1.787585,20.391561,0.000635,0.000082
CNRRM,10.000000,5.000000,2.500000,4.000000,0.625000,-0.145848,-0.017576,0.716707,3.469597,1.420250,3.972216,0.000635,0.000082
LRRM,10.000000,10.000000,2.500000,4.000000,0.625000,1.627094,0.791296,-6.058268,9.727936,3.182698,26.054935,0.398199,0.037157
CLRRM,10.000000,10.000000,2.500000,4.000000,0.625000,2.348634,0.426374,-7.538569,5.319311,2.069090,5.253023,0.402660,0.037385
CHRRM,10.000000,10.000000,2.500000,4.000000,0.625000,-0.283538,0.057425,0.634279,5.466645,2.034897,5.957625,0.403433,0.037530
CLRRMm,10.000000,10.000000,2.500000,4.000000,0.625000,1.120687,0.245433,-3.714699,5.389617,2.052069,5.575892,0.402897,0.037432
CLRRMt,10.000000,10.000000,2.500000,4.000000,0.625000,-0.048911,0.087547,-0.090621,5.454030,2.037612,5.892920,0.403324,0.037510
NRRM,10.000000,10.000000,2.500000,4.000000,0.625000,-1.158631,0.245504,3.167474,9.863795,5.915354,30.268719,0.000898,0.000165
CNRRM,10.000000,10.000000,2.500000,4.000000,0.625000,-0.223992,-0.027395,0.785936,4.868869,1.985142,5.540361,0.000898,0.000164
LRRM,10.000000,15.000000,2.500000,4.000000,0.625000,1.559966,1.163875,-7.943761,11.518892,7.475655,30.371859,0.324455,0.037758
CLRRM,10.000000,15.000000,2.500000,4.000000,0.625000,2.485199,0.492543,-9.626507,6.505922,2.550020,6.332478,0.329667,0.037815
CHRRM,10.000000,15.000000,2.500000,4.000000,0.625000,-1.045821,-0.010413,1.289226,6.751833,2.491771,7.500483,0.330864,0.038046
CLRRMm,10.000000,15.000000,2.500000,4.000000,0.625000,0.881636,0.247911,-4.649260,6.620992,2.521131,6.849899,0.330021,0.037882
CLRRMt,10.000000,15.000000,2.500000,4.000000,0.625000,-0.475044,0.062419,-0.464364,6.713960,2.499927,7.304591,0.330567,0.037987
NRRM,10.000000,15.000000,2.500000,4.000000,0.625000,-2.616528,0.195488,5.913924,12.359235,18.657632,40.532710,0.001098,0.000251
CNRRM,10.000000,15.000000,2.500000,4.000000,0.625000,-1.025056,-0.142273,1.452779,6.037211,2.440550,6.987257,0.001098,0.000247
