KepRef,AIF,CNR,TemporalRes,TrueRelKt,TrueRelVe,TrueKep,errKt,errVe,errKep,stdErrKt,stdErrVe,stdErrKep, meanResid, stdResid
0.500000,Default,5.000000,1.000000,2.500000,4.000000,0.625000,14.017931,3.614788,-44.963801,2.886968,1.558592,1.740396,2.549738,0.074103
0.600000,Default,5.000000,1.000000,2.500000,4.000000,0.625000,10.981088,2.376589,-34.940639,3.030615,1.457471,2.109057,2.541759,0.073843
0.700000,Default,5.000000,1.000000,2.500000,4.000000,0.625000,8.071374,1.519233,-25.465008,3.162782,1.393832,2.503332,2.536252,0.073627
0.800000,Default,5.000000,1.000000,2.500000,4.000000,0.625000,5.283745,0.892765,-16.500424,3.282626,1.350952,2.918220,2.532885,0.073468
0.850000,Default,5.000000,1.000000,2.500000,4.000000,0.625000,3.934091,0.639398,-12.199023,3.337876,1.334535,3.131949,2.531911,0.073412
0.900000,Default,5.000000,1.000000,2.500000,4.000000,0.625000,2.613007,0.416642,-8.012772,3.390049,1.320563,3.349163,2.531366,0.073376
0.925000,Default,5.000000,1.000000,2.500000,4.000000,0.625000,1.962973,0.315116,-5.961602,3.414999,1.314342,3.458924,2.531243,0.073364
0.950000,Default,5.000000,1.000000,2.500000,4.000000,0.625000,1.319836,0.219431,-3.937768,3.439201,1.308565,3.569376,2.531217,0.073358
0.975000,Default,5.000000,1.000000,2.500000,4.000000,0.625000,0.683515,0.129117,-1.940801,3.462665,1.303190,3.680464,2.531282,0.073357
1.000000,Default,5.000000,1.000000,2.500000,4.000000,0.625000,0.053928,0.043752,0.029755,3.485400,1.298180,3.792134,2.531436,0.073362
1.025000,Default,5.000000,1.000000,2.500000,4.000000,0.625000,-0.569004,-0.037046,1.974349,3.507418,1.293501,3.904335,2.531674,0.073371
1.050000,Default,5.000000,1.000000,2.500000,4.000000,0.625000,-1.185362,-0.113617,3.893424,3.528729,1.289126,4.017017,2.531995,0.073387
1.075000,Default,5.000000,1.000000,2.500000,4.000000,0.625000,-1.795227,-0.186271,5.787412,3.549344,1.285028,4.130132,2.532395,0.073408
1.100000,Default,5.000000,1.000000,2.500000,4.000000,0.625000,-2.398676,-0.255288,7.656738,3.569276,1.281183,4.243635,2.532870,0.073434
1.150000,Default,5.000000,1.000000,2.500000,4.000000,0.625000,-3.586645,-0.383406,11.323065,3.607136,1.274174,4.471627,2.534036,0.073505
1.200000,Default,5.000000,1.000000,2.500000,4.000000,0.625000,-4.749891,-0.499744,14.895649,3.642406,1.267958,4.700661,2.535472,0.073599
1.300000,Default,5.000000,1.000000,2.500000,4.000000,0.625000,-7.004654,-0.702768,21.771967,3.705580,1.257458,5.160655,2.539069,0.073859
1.400000,Default,5.000000,1.000000,2.500000,4.000000,0.625000,-9.167730,-0.873641,28.309306,3.759595,1.248984,5.621456,2.543511,0.074214
1.500000,Default,5.000000,1.000000,2.500000,4.000000,0.625000,-11.243694,-1.019095,34.529539,3.805232,1.242049,6.081247,2.548669,0.074664
0.500000,Default,5.000000,5.000000,2.500000,4.000000,0.625000,13.999433,3.810769,-45.012825,6.413701,3.497065,3.863875,1.137996,0.073579
0.600000,Default,5.000000,5.000000,2.500000,4.000000,0.625000,10.949358,2.562654,-35.011802,6.734127,3.269035,4.683196,1.135607,0.073413
0.700000,Default,5.000000,5.000000,2.500000,4.000000,0.625000,8.027939,1.700784,-25.560099,7.029126,3.125467,5.559481,1.134398,0.073313
0.800000,Default,5.000000,5.000000,2.500000,4.000000,0.625000,5.230004,1.072601,-16.620760,7.296828,3.028637,6.481680,1.134197,0.073288
0.850000,Default,5.000000,5.000000,2.500000,4.000000,0.625000,3.875678,0.819016,-12.332352,7.420337,2.991532,6.956810,1.134428,0.073307
0.900000,Default,5.000000,5.000000,2.500000,4.000000,0.625000,2.550215,0.596338,-8.159288,7.537036,2.959932,7.439740,1.134856,0.073347
0.925000,Default,5.000000,5.000000,2.500000,4.000000,0.625000,1.898098,0.494940,-6.114773,7.592868,2.945854,7.683792,1.135139,0.073376
0.950000,Default,5.000000,5.000000,2.500000,4.000000,0.625000,1.252945,0.399434,-4.097629,7.647048,2.932777,7.929397,1.135466,0.073411
0.975000,Default,5.000000,5.000000,2.500000,4.000000,0.625000,0.614672,0.309344,-2.107384,7.699594,2.920605,8.176434,1.135835,0.073452
1.000000,Default,5.000000,5.000000,2.500000,4.000000,0.625000,-0.016803,0.224242,-0.143578,7.750530,2.909255,8.424784,1.136244,0.073499
1.025000,Default,5.000000,5.000000,2.500000,4.000000,0.625000,-0.641563,0.143744,1.794243,7.799877,2.898653,8.674333,1.136691,0.073552
1.050000,Default,5.000000,5.000000,2.500000,4.000000,0.625000,-1.259692,0.067503,3.706521,7.847662,2.888735,8.924973,1.137175,0.073611
